Period,Month,Shop,Category,Drink,Quantity,Net Revenue,Transactions
Current 3M,2026-04,Carlow,Acai bowls & Smoothies,Classic acai,307.0,2659.26,277
Current 3M,2026-04,Carlow,Coffee & more,Americano,13.0,44.62,12
Current 3M,2026-04,Carlow,Coffee & more,Bueno iced latte,57.0,311.49,51
Current 3M,2026-04,Carlow,Coffee & more,Cappuccino,26.0,96.3,25
Current 3M,2026-04,Carlow,Coffee & more,Flat white,6.0,22.5,5
Current 3M,2026-04,Carlow,Coffee & more,Iced Latte,22.0,89.2,22
Current 3M,2026-04,Carlow,Coffee & more,Iced caramel latte,79.0,428.04,76
Current 3M,2026-04,Carlow,Coffee & more,Latte,34.0,147.2,33
Current 3M,2026-04,Carlow,Coffee & more,Tea,8.0,20.0,8
Current 3M,2026-04,Carlow,Coffee & more,Toasted brown sugar,54.0,218.45,51
Current 3M,2026-04,Carlow,Coffee & more,White chocolate mocha,54.0,292.34,54
Current 3M,2026-04,Carlow,Fruit tea,Apple Soda,2.0,8.49,2
Current 3M,2026-04,Carlow,Fruit tea,Apple lemonade tea,35.0,141.09,31
Current 3M,2026-04,Carlow,Fruit tea,Mango Passion Lemonade,173.0,740.57,163
Current 3M,2026-04,Carlow,Fruit tea,Mango Soda,1.0,3.78,1
Current 3M,2026-04,Carlow,Fruit tea,Strawberry Lemonade,65.0,263.13,62
Current 3M,2026-04,Carlow,Fruit tea,Strawberry Passion lemonade,29.0,122.35,25
Current 3M,2026-04,Carlow,Fruit tea,Watermelon Lemonade,66.0,277.25,62
Current 3M,2026-04,Carlow,Milk tea,Bueno Bliss Boba,94.0,505.46,84
Current 3M,2026-04,Carlow,Milk tea,Earl Grey,12.0,68.8,7
Current 3M,2026-04,Carlow,Milk tea,Matcha Latte,4.0,10.1,4
Current 3M,2026-04,Carlow,Milk tea,Original milk tea,28.0,142.74,24
Current 3M,2026-04,Carlow,Milk tea,Pistachio Crunch Matcha,1.0,5.15,1
Current 3M,2026-04,Carlow,Milk tea,Strawberry Sunset,56.0,300.6,54
Current 3M,2026-04,Carlow,Milk tea,Strawberry milk tea,5.0,24.46,4
Current 3M,2026-04,Carlow,Milk tea,Taro milk tea,39.0,208.0,37
Current 3M,2026-04,Carlow,Milk tea,Tiger Milk,62.0,338.56,55
Current 3M,2026-04,Carlow,Milk tea,Vanilla Matcha,102.0,588.85,90
Current 3M,2026-04,Carlow,Namo Plus,Starboy,146.0,601.06,129
Current 3M,2026-04,Carlow,Namo Plus Extras,Large,1.0,0.9,1
Current 3M,2026-04,Carlow,Smoothies,Mango Passionfruit smoothie,45.0,247.25,44
Current 3M,2026-04,Carlow,Smoothies,Strawberry Dream,67.0,382.37,63
Current 3M,2026-04,Carlow,Specials,Cinema deal (mon - wed),1.0,14.1,1
