Shop,Category,Drink,Current Qty,LY Qty,Qty Change,Qty Change %,Current Revenue,LY Revenue,Revenue Change,Revenue Change %
Carlow,Acai bowls & Smoothies,Classic acai,1286.0,1286.0,0.0,0.0,11252.23,11019.61,232.62,0.0211
Carlow,Acai bowls & Smoothies,FruitNinja,0.0,6.0,-6.0,-1.0,0.0,48.0,-48.0,-1.0
Carlow,Acai bowls & Smoothies,MangoLoco,0.0,181.0,-181.0,-1.0,0.0,1609.55,-1609.55,-1.0
Carlow,Coffee & more,Americano,61.0,71.0,-10.0,-0.1408,212.62,248.5,-35.88,-0.1444
Carlow,Coffee & more,Bueno iced latte,248.0,274.0,-26.0,-0.0949,1359.47,1435.62,-76.15,-0.053
Carlow,Coffee & more,Cappuccino,86.0,103.0,-17.0,-0.165,329.96,378.58,-48.62,-0.1284
Carlow,Coffee & more,Chai latte,0.0,4.0,-4.0,-1.0,0.0,18.6,-18.6,-1.0
Carlow,Coffee & more,Dirty Chai,0.0,4.0,-4.0,-1.0,0.0,21.8,-21.8,-1.0
Carlow,Coffee & more,Double Espresso,4.0,0.0,4.0,,14.0,0.0,14.0,
Carlow,Coffee & more,Espresso,5.0,13.0,-8.0,-0.6154,12.5,30.63,-18.13,-0.5919
Carlow,Coffee & more,Flat white,24.0,20.0,4.0,0.2,90.6,68.2,22.4,0.3284
Carlow,Coffee & more,Frappé,0.0,4.0,-4.0,-1.0,0.0,23.9,-23.9,-1.0
Carlow,Coffee & more,Hot Choc,3.0,2.0,1.0,0.5,12.15,7.0,5.15,0.7357
Carlow,Coffee & more,Iced Americano,4.0,6.0,-2.0,-0.3333,15.41,30.0,-14.59,-0.4863
Carlow,Coffee & more,Iced Latte,113.0,0.0,113.0,,506.33,0.0,506.33,
Carlow,Coffee & more,Iced Vanilla cold cap,0.0,27.0,-27.0,-1.0,0.0,142.34,-142.34,-1.0
Carlow,Coffee & more,Iced caramel latte,423.0,206.0,217.0,1.0534,2275.83,1092.0,1183.83,1.0841
Carlow,Coffee & more,Iced latte (1),0.0,53.0,-53.0,-1.0,0.0,286.01,-286.01,-1.0
Carlow,Coffee & more,Latte,108.0,135.0,-27.0,-0.2,452.44,497.03,-44.59,-0.0897
Carlow,Coffee & more,"Oat, Coconut Milk",1.0,4.0,-3.0,-0.75,0.49,1.46,-0.97,-0.6644
Carlow,Coffee & more,OrangeEspresso,0.0,3.0,-3.0,-1.0,0.0,10.5,-10.5,-1.0
Carlow,Coffee & more,Pistachio latte,13.0,138.0,-125.0,-0.9058,65.59,715.95,-650.36,-0.9084
Carlow,Coffee & more,Tea,24.0,30.0,-6.0,-0.2,60.0,75.0,-15.0,-0.2
Carlow,Coffee & more,Toasted brown sugar,225.0,108.0,117.0,1.0833,1025.15,568.8,456.35,0.8023
Carlow,Coffee & more,White chocolate mocha,245.0,133.0,112.0,0.8421,1303.2,675.78,627.42,0.9284
Carlow,Fruit tea,Apple Soda,23.0,59.0,-36.0,-0.6102,99.46,233.3,-133.84,-0.5737
Carlow,Fruit tea,Apple lemonade tea,103.0,30.0,73.0,2.4333,424.47,116.11,308.36,2.6558
Carlow,Fruit tea,Lemonade no boba medium,0.0,1.0,-1.0,-1.0,0.0,3.3,-3.3,-1.0
Carlow,Fruit tea,Mango Iced Teas,0.0,1.0,-1.0,-1.0,0.0,3.05,-3.05,-1.0
Carlow,Fruit tea,Mango Passion Lemonade,729.0,43.0,686.0,15.9535,3112.86,164.6,2948.26,17.9117
Carlow,Fruit tea,Mango Soda,2.0,0.0,2.0,,7.56,0.0,7.56,
Carlow,Fruit tea,Mango Soda (NEW),0.0,1.0,-1.0,-1.0,0.0,3.78,-3.78,-1.0
Carlow,Fruit tea,Peach iced tea,0.0,1.0,-1.0,-1.0,0.0,3.7,-3.7,-1.0
Carlow,Fruit tea,Strawberry Lemonade,354.0,313.0,41.0,0.131,1479.17,1249.89,229.28,0.1834
Carlow,Fruit tea,Strawberry Nojito,35.0,0.0,35.0,,151.84,0.0,151.84,
Carlow,Fruit tea,Strawberry Passion lemonade,166.0,269.0,-103.0,-0.3829,713.41,1109.98,-396.57,-0.3573
Carlow,Fruit tea,Watermelon Lemonade,312.0,195.0,117.0,0.6,1314.05,762.01,552.04,0.7245
Carlow,Fruit tea,mango passion Fruit Tea,0.0,3.0,-3.0,-1.0,0.0,14.85,-14.85,-1.0
Carlow,Milk tea,Bueno Bliss Boba,287.0,53.0,234.0,4.4151,1558.16,266.0,1292.16,4.8577
Carlow,Milk tea,Earl Grey,24.0,46.0,-22.0,-0.4783,133.24,237.0,-103.76,-0.4378
Carlow,Milk tea,Honey Mango Latte,0.0,47.0,-47.0,-1.0,0.0,240.29,-240.29,-1.0
Carlow,Milk tea,Honeydew MT,0.0,2.0,-2.0,-1.0,0.0,9.3,-9.3,-1.0
Carlow,Milk tea,Mango Milk tea,0.0,9.0,-9.0,-1.0,0.0,47.25,-47.25,-1.0
Carlow,Milk tea,Matcha Latte,25.0,19.0,6.0,0.3158,123.67,95.07,28.6,0.3008
Carlow,Milk tea,Matcha Latte (no boba),0.0,168.0,-168.0,-1.0,0.0,852.51,-852.51,-1.0
Carlow,Milk tea,Oat matcha latte HOT (no boba),0.0,3.0,-3.0,-1.0,0.0,13.34,-13.34,-1.0
Carlow,Milk tea,Original milk tea,256.0,121.0,135.0,1.1157,1383.92,626.4,757.52,1.2093
Carlow,Milk tea,Pistachio Crunch Latte,0.0,10.0,-10.0,-1.0,0.0,54.5,-54.5,-1.0
Carlow,Milk tea,Pistachio Crunch Matcha,12.0,0.0,12.0,,66.7,0.0,66.7,
Carlow,Milk tea,Strawberry Sunset,241.0,118.0,123.0,1.0424,1312.45,578.0,734.45,1.2707
Carlow,Milk tea,Strawberry milk tea,36.0,8.0,28.0,3.5,177.65,41.6,136.05,3.2704
Carlow,Milk tea,Taro milk tea,174.0,84.0,90.0,1.0714,957.93,418.19,539.74,1.2907
Carlow,Milk tea,Tiger Milk,182.0,94.0,88.0,0.9362,1003.87,493.61,510.26,1.0337
Carlow,Milk tea,Vanilla Matcha,404.0,0.0,404.0,,2366.91,0.0,2366.91,
Carlow,Namo Plus,Starboy,595.0,368.0,227.0,0.6168,2454.64,1481.96,972.68,0.6563
Carlow,Namo Plus Extras,3€ Coffee Deal,0.0,2.0,-2.0,-1.0,0.0,7.2,-7.2,-1.0
Carlow,Namo Plus Extras,Large,1.0,0.0,1.0,,0.9,0.0,0.9,
Carlow,Smoothies,Dream,0.0,51.0,-51.0,-1.0,0.0,306.15,-306.15,-1.0
Carlow,Smoothies,Mango Passionfruit smoothie,285.0,97.0,188.0,1.9381,1619.82,532.22,1087.6,2.0435
Carlow,Smoothies,Strawberry Dream,278.0,0.0,278.0,,1593.11,0.0,1593.11,
Carlow,Specials,Cinema deal (mon - wed),3.0,21.0,-18.0,-0.8571,42.29,301.69,-259.4,-0.8598
Carlow,Specials,Enchiladas,0.0,65.0,-65.0,-1.0,0.0,656.71,-656.71,-1.0
Carlow,Specials,Loaded Chipotle Wedges,127.0,148.0,-21.0,-0.1419,1527.37,1505.44,21.93,0.0146
Carlow,Specials,Passionfruit Soda,0.0,1.0,-1.0,-1.0,0.0,3.78,-3.78,-1.0
Carlow,Specials,Pink velvet (coffee),0.0,22.0,-22.0,-1.0,0.0,115.85,-115.85,-1.0
Carlow,Specials,Pistachio Crunch Latte,1.0,0.0,1.0,,5.8,0.0,5.8,
Carlow,Specials,Piñalada,3.0,36.0,-33.0,-0.9167,14.54,182.88,-168.34,-0.9205
Carlow,Specials,Quesadilla,277.0,267.0,10.0,0.0375,3163.44,2736.91,426.53,0.1558
Carlow,Specials,Straw Matcha,0.0,15.0,-15.0,-1.0,0.0,74.92,-74.92,-1.0
Carlow,Specials,Straw Matcha (excl boba),0.0,73.0,-73.0,-1.0,0.0,385.16,-385.16,-1.0
Carlow,Specials,Strawberry Matcha,23.0,0.0,23.0,,128.53,0.0,128.53,
Carlow,Specials,Strawberry Oat Matcha,252.0,0.0,252.0,,1425.73,0.0,1425.73,
Carlow,Specials,Strawberry red velvet milk t,0.0,15.0,-15.0,-1.0,0.0,59.46,-59.46,-1.0
Carlow,Specials,White Choc Matcha,153.0,0.0,153.0,,907.72,0.0,907.72,
Carlow,Specials,strawberry pinalada,0.0,41.0,-41.0,-1.0,0.0,212.1,-212.1,-1.0
Clonmel,Acai bowls & Smoothies,Classic acai,1257.0,1844.0,-587.0,-0.3183,11094.07,15744.93,-4650.86,-0.2954
Clonmel,Coffee & more,3€ Coffe,0.0,35.0,-35.0,-1.0,0.0,104.25,-104.25,-1.0
Clonmel,Coffee & more,3€ Coffee,8.0,0.0,8.0,,24.0,0.0,24.0,
Clonmel,Coffee & more,Americano,68.0,59.0,9.0,0.1525,239.2,206.5,32.7,0.1584
Clonmel,Coffee & more,Bueno iced latte,169.0,193.0,-24.0,-0.1244,967.65,996.08,-28.43,-0.0285
Clonmel,Coffee & more,Cappuccino,123.0,124.0,-1.0,-0.0081,512.87,454.03,58.84,0.1296
Clonmel,Coffee & more,Chai latte,2.0,1.0,1.0,1.0,9.3,4.65,4.65,1.0
Clonmel,Coffee & more,Cinnamel Latte,0.0,2.0,-2.0,-1.0,0.0,9.3,-9.3,-1.0
Clonmel,Coffee & more,Espresso,2.0,11.0,-9.0,-0.8182,5.0,27.5,-22.5,-0.8182
Clonmel,Coffee & more,Flat white,39.0,19.0,20.0,1.0526,152.51,64.85,87.66,1.3517
Clonmel,Coffee & more,Hot Choc,5.0,7.0,-2.0,-0.2857,20.85,24.5,-3.65,-0.149
Clonmel,Coffee & more,Iced Americano,8.0,7.0,1.0,0.1429,27.99,34.7,-6.71,-0.1934
Clonmel,Coffee & more,Iced Latte,45.0,0.0,45.0,,205.73,0.0,205.73,
Clonmel,Coffee & more,Iced Vanilla cold cap,0.0,16.0,-16.0,-1.0,0.0,79.4,-79.4,-1.0
Clonmel,Coffee & more,Iced caramel latte,280.0,178.0,102.0,0.573,1564.65,904.09,660.56,0.7306
